flight_number,departure_airport,arrival_airport,departure_date,departure_time,arrival_date,arrival_time,duration,airline,price
9210,JZH,SKC,3/16/2022,12:10 PM,9/23/2021,12:51 AM,6.84,Air France,68.02
1845,BNT,BMF,8/4/2022,12:21 AM,10/25/2021,1:22 AM,6.12,Delta,279.96
8694,EIN,TGZ,6/11/2021,11:54 PM,8/26/2022,9:36 AM,16.66,Delta,614.39
2167,,NNL,11/7/2021,,8/24/2021,6:34 PM,12.01,Southwest,735.86
2779,KNG,DRR,7/3/2022,,6/6/2021,3:17 PM,22.04,Southwest,881.59
3189,CLM,KAO,5/25/2022,12:15 AM,,11:23 PM,6.96,American,835.73
7877,KRU,DRE,6/15/2021,2:49 AM,8/10/2021,4:22 AM,22.34,American,876.74
3181,YOY,,4/5/2022,7:43 AM,9/8/2022,12:50 AM,10.53,United,861.09
2193,DQA,NQU,1/17/2021,5:17 AM,11/12/2022,6:03 AM,19.57,American,811.75
8963,WAD,KIK,,4:04 AM,8/9/2022,,16.15,Lufthansa,121.37
8430,TSB,CMK,8/31/2021,7:17 PM,2/19/2021,4:26 PM,3.26,Delta,148.72
2404,HZH,ADF,4/20/2022,1:18 AM,5/12/2022,7:30 PM,11.66,JetBlue,334.78
5335,EWY,XGG,11/7/2022,5:02 AM,8/9/2022,11:17 PM,21.69,British Airways,867.13
4216,SKF,PNU,1/28/2022,,4/6/2021,1:33 PM,18.53,Lufthansa,437.8
9940,WAW,KUX,,3:38 AM,11/11/2022,9:31 AM,19.84,Lufthansa,108.66
8125,CQA,SBM,9/6/2021,2:00 PM,4/13/2022,5:24 PM,6.73,Delta,271.01
1441,TSW,DEM,1/23/2022,,8/4/2022,12:25 AM,2.31,Lufthansa,462.78
6907,SZA,CIL,7/10/2022,,11/17/2021,12:38 AM,6.69,Qatar Airways,186.34
2254,KKK,0,5/9/2021,7:59 PM,2/2/2022,6:36 PM,13.39,Air France,681.01
3237,TWY,FUG,7/13/2022,12:50 AM,2/5/2021,5:20 AM,21.84,Southwest,506.33
5890,SBF,STQ,8/26/2022,,4/13/2021,7:53 AM,4.4,Air France,342.0
7030,BKO,QUO,7/21/2022,8:34 PM,10/4/2022,9:38 AM,14.95,Qatar Airways,787.91
3185,MMT,SID,10/23/2022,6:53 PM,9/9/2021,12:03 PM,12.42,American,
4474,ABV,LHK,3/1/2022,8:47 AM,4/3/2022,4:17 AM,20.33,American,746.35
1060,KHE,SXB,12/24/2022,11:40 PM,8/7/2021,5:10 AM,3.34,American,
5673,NH Z,YSH,8/29/2021,12:13 AM,10/31/2022,6:34 AM,7.94,United,921.87
5373,KHV,ISL,10/29/2022,2:34 PM,4/8/2022,3:44 PM,,Air France,529.98
6796,JIO,KBH,9/14/2022,,1/11/2022,1:54 AM,10.59,Southwest,534.35
6487,,SAW,10/30/2021,2:21 AM,11/12/2022,2:48 AM,19.06,Lufthansa,838.71
5267,PON,XBJ,11/24/2022,6:26 PM,3/24/2021,12:57 PM,23.27,Lufthansa,439.51
7439,TPI,QCP,2/21/2021,9:56 PM,9/30/2021,10:20 PM,18.8,Emirates,231.66
1031,DVL,PMX,10/25/2022,9:56 AM,9/26/2021,6:37 PM,11.32,United,212.67
1452,KWH,JNG,7/14/2021,3:28 PM,7/31/2021,1:21 AM,6.3,Emirates,243.83
9206,AOO,YCB,7/18/2022,3:56 PM,2/5/2022,2:48 AM,,American,732.92
5484,AIF,TKA,9/12/2022,7:45 AM,1/17/2022,2:08 AM,13.1,Delta,956.7
8996,NHF,,2/28/2021,10:00 PM,12/7/2022,10:22 PM,7.03,United,583.98
7579,LWM,IMO,1/19/2022,2:18 AM,12/13/2021,3:57 AM,15.19,Southwest,446.05
2240,PPP,POA,11/12/2021,4:05 PM,3/1/2022,12:50 AM,13.53,,737.0
7091,AAY,SSL,1/18/2022,8:38 AM,7/7/2021,3:40 PM,17.9,British Airways,316.45
6640,BZX,EJT,2/17/2022,11:29 PM,11/3/2022,4:25 PM,21.8,Lufthansa,884.21
3441,EPR,GTA,3/15/2022,1:26 AM,3/1/2022,4:13 PM,12.15,Qatar Airways,441.22
6692,MNH,OGX,8/11/2022,,8/6/2021,11:39 PM,18.08,United,508.41
4226,UAE,GUP,11/13/2021,2:45 PM,5/18/2021,5:29 AM,15.5,British Airways,870.2
3670,,PSS,12/21/2022,1:24 PM,8/12/2022,1:41 AM,18.27,American,745.77
